,movie_id,movie_imdb_link,certificate,runtime_in_mins,genre,imdb_rating,number_of_votes,metascore,top_director,release_year,awards_link,awards_total,top_writer,top_star_1,top_star_2,top_star_3,num_user_reviews,num_critic_reviews,release_date,country_of_origin,top_production_company,budget_in_usd,opening_weekend_us_can_in_usd,gross_us_can_in_usd,gross_worldwide_in_usd,total_award_nominations,total_award_wins,primary_genre,secondary_genre,release_weekday,release_month,is_among_best_director,top_production_company_grouped,country_of_origin_grouped
19,tt13320622,https://www.imdb.com/title/tt13320622/?ref_=adv_li_tt,+13/14,112.0,"Action, Adventure, Comedy",6.1,110503.0,60.0,Aaron Nee,2022,https://www.imdb.com/title/tt13320622/awards/?ref_=tt_awd,Showing all 1 win and 3 nominations,Oren Uziel,Sandra Bullock,Channing Tatum,Daniel Radcliffe,999.0,236.0,2022-03-25,United States,Paramount Pictures,68000000.0,30453269.0,105344029.0,190844029.0,3.0,1.0,Action,Adventure,5,3.0,N,Paramount Pictures,United States
20,tt11245972,https://www.imdb.com/title/tt11245972/?ref_=adv_li_tt,Adult,114.0,"Horror, Mystery, Thriller",6.3,108837.0,60.0,Matt Bettinelli-Olpin,2022,https://www.imdb.com/title/tt11245972/awards/?ref_=tt_awd,Showing all 1 win and 4 nominations,James Vanderbilt,Neve Campbell,Courteney Cox,David Arquette,1600.0,322.0,2022-01-14,United States,Paramount Pictures,24000000.0,30018805.0,81641405.0,140041405.0,4.0,1.0,Horror,Other,5,1.0,N,Paramount Pictures,United States
21,tt10298810,https://www.imdb.com/title/tt10298810/?ref_=adv_li_tt,Parental Guidance,100.0,"Animation, Action, Adventure",6.0,99265.0,60.0,Angus MacLane,2022,https://www.imdb.com/title/tt10298810/awards/?ref_=tt_awd,Showing all 0 wins and 1 nomination,Angus MacLane,Chris Evans,Keke Palmer,Peter Sohn,1000.0,246.0,2022-06-17,United States,Pixar Animation Studios,200000000.0,50577961.0,118307188.0,226425420.0,1.0,0.0,Animation,Other,5,6.0,N,Other,United States
23,tt11291274,https://www.imdb.com/title/tt11291274/?ref_=adv_li_tt,Adult,107.0,"Action, Comedy, Crime",7.0,77863.0,68.0,Tom Gormican,2022,https://www.imdb.com/title/tt11291274/awards/?ref_=tt_awd,Showing all 0 wins and 6 nominations,Tom Gormican,Nicolas Cage,Pedro Pascal,Tiffany Haddish,601.0,262.0,2022-04-29,United States,Burr! Productions,30000000.0,7131703.0,20300157.0,29116320.0,6.0,0.0,Action,Comedy,5,4.0,N,Other,United States
24,tt6443346,https://www.imdb.com/title/tt6443346/?ref_=adv_li_tt,+13/14,125.0,"Action, Adventure, Fantasy",7.1,76572.0,41.0,Jaume Collet-Serra,2022,https://www.imdb.com/title/tt6443346/awards/?ref_=tt_awd,Showing all 0 wins and 1 nomination,Adam Sztykiel,Dwayne Johnson,Aldis Hodge,Pierce Brosnan,923.0,206.0,2022-10-21,United States,DC Entertainment,195000000.0,67004323.0,123576000.0,262876000.0,1.0,0.0,Action,Adventure,5,10.0,N,Other,United States
25,tt5834426,https://www.imdb.com/title/tt5834426/?ref_=adv_li_tt,+13/14,130.0,"Action, Adventure, Sci-Fi",5.1,75087.0,41.0,Roland Emmerich,2022,https://www.imdb.com/title/tt5834426/awards/?ref_=tt_awd,0,Roland Emmerich,Halle Berry,Patrick Wilson,John Bradley,1800.0,231.0,2022-02-04,United States,Centropolis Entertainment,150000000.0,9868997.0,19060660.0,59049032.0,0.0,0.0,Action,Adventure,5,2.0,N,Other,United States
27,tt4998632,https://www.imdb.com/title/tt4998632/?ref_=adv_li_tt,Adult,136.0,"Action, Crime, Drama",6.1,66456.0,55.0,Michael Bay,2022,https://www.imdb.com/title/tt4998632/awards/?ref_=tt_awd,Showing all 0 wins and 2 nominations,Chris Fedak,Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González,1000.0,211.0,2022-03-18,United States,Universal Pictures,40000000.0,8699630.0,22309115.0,51309115.0,2.0,0.0,Action,Crime,5,3.0,N,Universal Pictures,United States
28,tt12412888,https://www.imdb.com/title/tt12412888/?ref_=adv_li_tt,Parental Guidance,122.0,"Action, Adventure, Comedy",6.5,63396.0,47.0,Jeff Fowler,2022,https://www.imdb.com/title/tt12412888/awards/?ref_=tt_awd,0,Pat Casey,James Marsden,Jim Carrey,Ben Schwartz,593.0,159.0,2022-04-08,United States,Paramount Pictures,110000000.0,72105176.0,190872904.0,401872904.0,0.0,0.0,Action,Adventure,5,4.0,N,Paramount Pictures,United States
29,tt5113044,https://www.imdb.com/title/tt5113044/?ref_=adv_li_tt,Parental Guidance,87.0,"Animation, Adventure, Comedy",6.6,59214.0,56.0,Kyle Balda,2022,https://www.imdb.com/title/tt5113044/awards/?ref_=tt_awd,Showing all 0 wins and 2 nominations,Matthew Fogel,Steve Carell,Pierre Coffin,Alan Arkin,571.0,145.0,2022-07-01,United States,Universal Pictures,80000000.0,107010140.0,369081445.0,934978445.0,2.0,0.0,Animation,Adventure,5,7.0,N,Universal Pictures,United States
30,tt8912936,https://www.imdb.com/title/tt8912936/?ref_=adv_li_tt,Parental Guidance,105.0,"Animation, Action, Adventure",7.3,58809.0,56.0,Jared Stern,2022,https://www.imdb.com/title/tt8912936/awards/?ref_=tt_awd,Showing all 0 wins and 1 nomination,Jared Stern,Dwayne Johnson,Kevin Hart,Kate McKinnon,214.0,120.0,2022-07-29,United States,Warner Animation Group,90000000.0,23003441.0,93458039.0,203658039.0,1.0,0.0,Animation,Other,5,7.0,N,Other,United States
35,tt9411972,https://www.imdb.com/title/tt9411972/?ref_=adv_li_tt,+13/14,125.0,"Drama, Mystery, Thriller",7.1,45868.0,43.0,Olivia Newman,2022,https://www.imdb.com/title/tt9411972/awards/?ref_=tt_awd,Showing all 0 wins and 1 nomination,Delia Owens,Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson,435.0,159.0,2022-09-09,United States,3000 Pictures,24000000.0,17253227.0,90230760.0,136930760.0,1.0,0.0,Drama,Other,5,9.0,N,Other,United States
